Amount,Merchant,Location,Time,Prediction,Confidence,Risk
3500,Amazon,"(9.996544, -119.35544)",12:30,Fraud,61.5,High
350000,Amazon,"(9.996544, -119.35544)",12:30,Fraud,61.0,High
10000,Swiggy,"(9.996544, -119.35544)",12:30,Fraud,59.5,High
10000,Swiggy,"(9.996544, -119.35544)",12:30,Fraud,59.5,High
105001,Swiggy,"(9.996544, -119.35544)",12:30,Fraud,61.0,High
178341,Swiggy,"(9.996544, -119.35544)",12:30,Fraud,61.0,High
178341,Swiggy,"(9.996544, -119.35544)",12:30,Fraud,61.0,High
499,Amazon,"(9.996544, -119.35544)",12:30,Fraud,61.5,High
499,Amazon,"(9.996544, -119.35544)",14:30,Fraud,61.5,High
499,Amazon,"(9.996544, -119.35544)",14:30,Fraud,61.5,High
1011,500,101,501,Legitimate,9.8
1011,500,101,501,Legitimate,9.8
1011,500,101,501,Legitimate,9.8
1011,500,101,501,Legitimate,9.8
1011,500,101,501,Legitimate,9.8
1011,500,101,501,Legitimate,30.6
9877,95000,198,999,Fraud,64.5
1011,4998,101,501,Legitimate,26.46
1902,4000,105,501,Legitimate,29.16
1903,5960,105,501,Legitimate,30.06
1905,15957,105,501,Legitimate,41.71
1905,99947,105,501,Fraud,52.41
1905,99947,105,501,Fraud,52.41
1011,4000,1024,103,Legitimate,7.98
1011,4444,1024,103,Legitimate,24.8
1905,100050,105,501,Fraud,52.41
1905,99947,105,501,Fraud,52.41
1905,99947,105,501,Fraud,52.41
1905,70987,105,501,Legitimate,48.96
1905,70987,105,501,Legitimate,48.96
1905,70987,105,501,Legitimate,48.96
1011,23000,1024,105,Legitimate,22.42
1011,47347,1024,105,Legitimate,38.38
1905,70987,105,501,Fraud,52.41
